record_id,date_time,city_zone,station_type,vehicles_charged,avg_charging_duration_minutes,energy_dispensed_kwh,grid_load_mw,renewable_energy_used_percent,peak_load_risk
175,2024-01-08 06:00:00,South,Normal,14,25.3,162.15,208.42,62.7,High
176,2024-01-08 07:00:00,Central,Normal,21,99.7,258.41,214.29,6.4,High
177,2024-01-08 08:00:00,South,Fast,18,110.2,89.2,350.94,18.7,Medium
178,2024-01-08 09:00:00,Central,Normal,16,29.1,287.44,461.93,29.5,Low
179,2024-01-08 10:00:00,West,Fast,1,70.8,159.82,159.54,64.6,Low
180,2024-01-08 11:00:00,East,Normal,15,65.2,132.86,193.08,78.4,Low
181,2024-01-08 12:00:00,Central,Fast,7,60.5,139.23,115.53,38.2,Medium
182,2024-01-08 13:00:00,South,Fast,14,82.5,219.79,410.95,49.3,High
183,2024-01-08 14:00:00,North,Supercharger,7,85.1,233.88,101.17,6.3,Medium
184,2024-01-08 15:00:00,East,Fast,17,29.8,89.4,410.74,19.8,Medium
185,2024-01-08 16:00:00,Central,Normal,18,56.5,189.13,212.96,20.4,Low
186,2024-01-08 17:00:00,North,Normal,5,79.9,206.86,66.3,76.7,Medium
187,2024-01-08 18:00:00,North,Fast,24,93.1,189.7,98.06,75.3,High
188,2024-01-08 19:00:00,Central,Fast,10,80.9,60.56,250.58,5.2,Low
189,2024-01-08 20:00:00,South,Normal,20,76.5,72.21,480.43,13.7,High
190,2024-01-08 21:00:00,North,Normal,3,77.6,252.57,172.58,70.1,Low
191,2024-01-08 22:00:00,East,Fast,3,116.5,64.41,293.66,80.6,High
192,2024-01-08 23:00:00,North,Fast,15,76.3,82.91,136.23,35.9,Low
193,2024-01-09 00:00:00,West,Normal,14,22.7,177.82,472.5,70.2,Low
194,2024-01-09 01:00:00,North,Normal,24,90.9,277.13,221.45,54.0,Medium
195,2024-01-09 02:00:00,South,Normal,8,46.0,112.42,215.24,65.0,Low
196,2024-01-09 03:00:00,West,Fast,20,108.5,210.63,399.47,35.9,Medium
197,2024-01-09 04:00:00,East,Normal,13,22.0,60.75,292.01,28.3,Low
198,2024-01-09 05:00:00,North,Supercharger,17,96.0,34.83,135.0,64.6,Low
199,2024-01-09 06:00:00,North,Supercharger,15,63.6,320.75,216.17,34.9,Medium
200,2024-01-09 07:00:00,Central,Normal,6,106.4,245.81,417.5,76.3,Medium
201,2024-01-09 08:00:00,Central,Supercharger,8,38.0,268.86,71.69,35.4,Medium
202,2024-01-09 09:00:00,West,Normal,23,95.9,203.02,313.36,51.1,Low
203,2024-01-09 10:00:00,South,Normal,23,42.5,112.33,101.29,70.6,Low
204,2024-01-09 11:00:00,East,Normal,14,92.9,139.47,207.37,50.9,Medium
205,2024-01-09 12:00:00,Central,Normal,19,51.6,157.8,176.12,11.1,High
206,2024-01-09 13:00:00,North,Normal,9,46.4,11.83,423.05,5.4,Low
207,2024-01-09 14:00:00,Central,Fast,12,73.9,209.18,485.61,37.7,High
208,2024-01-09 15:00:00,East,Supercharger,13,73.3,95.58,395.43,41.9,Low
209,2024-01-09 16:00:00,East,Normal,18,35.0,196.34,340.11,78.5,Medium
210,2024-01-09 17:00:00,North,Normal,9,87.8,339.52,219.19,24.5,High
211,2024-01-09 18:00:00,West,Supercharger,17,67.0,265.2,492.21,68.1,Low
212,2024-01-09 19:00:00,South,Normal,1,57.7,291.98,450.94,36.9,Low
213,2024-01-09 20:00:00,North,Fast,18,25.3,159.02,175.78,22.6,High
214,2024-01-09 21:00:00,West,Fast,1,119.6,143.39,276.75,23.5,Low
215,2024-01-09 22:00:00,South,Fast,4,97.5,332.23,249.45,48.4,Low
216,2024-01-09 23:00:00,East,Normal,23,30.4,348.05,87.88,11.3,Low
217,2024-01-10 00:00:00,North,Normal,11,110.9,81.25,383.45,57.6,Low
218,2024-01-10 01:00:00,South,Normal,13,119.3,188.56,429.59,48.9,High
219,2024-01-10 02:00:00,West,Fast,6,68.2,316.4,134.53,23.3,High
220,2024-01-10 03:00:00,West,Fast,11,66.3,266.14,138.28,34.7,Medium
221,2024-01-10 04:00:00,Central,Supercharger,11,93.3,241.15,491.94,55.0,High
222,2024-01-10 05:00:00,West,Fast,12,78.8,237.05,438.11,45.3,High
223,2024-01-10 06:00:00,South,Normal,5,56.2,145.25,79.84,54.1,High
224,2024-01-10 07:00:00,Central,Supercharger,3,38.9,242.2,426.4,9.1,Low
225,2024-01-10 08:00:00,West,Normal,5,75.8,22.86,157.2,70.9,High
226,2024-01-10 09:00:00,Central,Normal,23,118.8,33.26,487.26,24.3,High
227,2024-01-10 10:00:00,North,Normal,18,110.3,14.8,188.36,83.3,Low
228,2024-01-10 11:00:00,South,Normal,2,48.2,39.49,356.4,55.0,Low
229,2024-01-10 12:00:00,East,Fast,16,25.4,266.81,109.91,14.1,Low
230,2024-01-10 13:00:00,East,Supercharger,10,111.6,294.28,169.28,46.3,Low
231,2024-01-10 14:00:00,North,Fast,15,74.9,81.66,366.95,28.6,Low
232,2024-01-10 15:00:00,Central,Normal,11,23.1,267.61,336.31,36.5,Low
233,2024-01-10 16:00:00,West,Supercharger,5,47.5,62.74,432.04,45.1,High
234,2024-01-10 17:00:00,South,Normal,5,102.5,94.11,415.94,40.5,Medium
235,2024-01-10 18:00:00,North,Normal,15,22.8,286.4,304.3,37.4,Low
236,2024-01-10 19:00:00,Central,Normal,7,60.7,309.01,116.96,56.6,High
237,2024-01-10 20:00:00,South,Supercharger,1,26.2,94.88,352.69,10.0,Low
238,2024-01-10 21:00:00,North,Fast,5,109.4,22.65,402.76,18.4,Medium
239,2024-01-10 22:00:00,East,Supercharger,20,24.5,311.38,346.13,34.1,Medium
240,2024-01-10 23:00:00,Central,Fast,2,116.5,334.18,149.69,65.6,Low
241,2024-01-11 00:00:00,Central,Fast,10,75.9,168.81,100.57,75.9,Low
242,2024-01-11 01:00:00,Central,Fast,2,62.0,18.89,111.01,9.8,Low
243,2024-01-11 02:00:00,Central,Normal,3,54.1,145.64,58.9,36.5,High
244,2024-01-11 03:00:00,West,Normal,21,91.5,34.06,107.43,38.8,Medium
245,2024-01-11 04:00:00,South,Supercharger,15,74.4,71.32,470.18,20.4,Low
246,2024-01-11 05:00:00,East,Fast,20,55.9,308.25,92.25,51.6,Low
247,2024-01-11 06:00:00,North,Normal,24,72.2,77.78,173.67,67.7,Low
248,2024-01-11 07:00:00,East,Fast,12,73.2,306.47,388.45,30.8,Low
249,2024-01-11 08:00:00,South,Fast,12,48.3,10.55,153.87,53.9,Low
250,2024-01-11 09:00:00,East,Fast,10,110.2,342.79,191.53,20.0,Low
251,2024-01-11 10:00:00,North,Fast,24,97.8,106.27,344.65,47.4,Low
252,2024-01-11 11:00:00,East,Fast,4,60.1,41.88,76.45,64.3,Low
253,2024-01-11 12:00:00,Central,Normal,20,81.4,40.83,183.21,77.4,Low
254,2024-01-11 13:00:00,East,Fast,24,71.0,131.06,396.74,72.4,Low
255,2024-01-11 14:00:00,Central,Supercharger,10,104.2,213.34,358.07,51.5,Medium
256,2024-01-11 15:00:00,North,Supercharger,1,51.0,83.25,418.22,70.5,Low
257,2024-01-11 16:00:00,West,Normal,14,62.9,61.12,325.62,34.0,Low
258,2024-01-11 17:00:00,West,Normal,22,84.7,109.87,369.19,10.0,High
259,2024-01-11 18:00:00,North,Normal,7,54.3,63.89,406.07,47.3,Low
260,2024-01-11 19:00:00,Central,Normal,22,112.0,260.6,417.49,75.1,Medium
261,2024-01-11 20:00:00,North,Normal,15,72.7,16.36,72.73,28.3,Low
262,2024-01-11 21:00:00,South,Normal,22,55.4,326.95,414.92,67.6,Low
263,2024-01-11 22:00:00,Central,Fast,23,114.0,302.09,342.55,21.7,Low
264,2024-01-11 23:00:00,East,Normal,18,82.9,230.79,133.24,21.2,Low
265,2024-01-12 00:00:00,South,Fast,17,107.8,346.9,208.81,9.5,High
266,2024-01-12 01:00:00,South,Normal,6,23.3,242.28,383.63,11.0,Low
267,2024-01-12 02:00:00,West,Supercharger,4,42.3,251.92,374.79,53.0,Medium
268,2024-01-12 03:00:00,Central,Normal,3,84.5,67.21,271.12,44.8,Medium
269,2024-01-12 04:00:00,North,Supercharger,10,25.4,321.4,387.71,38.0,Low
270,2024-01-12 05:00:00,West,Fast,12,105.7,96.17,413.69,27.1,High
271,2024-01-12 06:00:00,Central,Supercharger,1,61.3,144.64,60.01,69.9,Low
272,2024-01-12 07:00:00,North,Fast,2,118.6,297.48,329.54,22.5,Medium
273,2024-01-12 08:00:00,Central,Normal,17,86.9,281.01,127.3,61.3,Low
274,2024-01-12 09:00:00,South,Fast,9,27.5,198.04,231.51,13.1,High
275,2024-01-12 10:00:00,East,Normal,21,54.0,63.38,388.35,17.6,Low
276,2024-01-12 11:00:00,West,Fast,24,75.1,306.94,477.07,57.8,High
277,2024-01-12 12:00:00,West,Fast,22,49.0,32.82,486.55,53.8,Low
278,2024-01-12 13:00:00,Central,Normal,22,32.0,304.16,70.57,13.5,Medium
279,2024-01-12 14:00:00,North,Supercharger,1,108.5,258.72,230.08,13.4,Low
280,2024-01-12 15:00:00,West,Fast,21,67.4,282.83,331.54,79.0,Low
281,2024-01-12 16:00:00,West,Fast,20,79.2,70.97,206.48,60.9,Low
282,2024-01-12 17:00:00,East,Fast,12,72.6,318.65,382.76,55.7,High
283,2024-01-12 18:00:00,West,Supercharger,13,55.4,150.54,248.4,34.8,High
284,2024-01-12 19:00:00,South,Normal,5,98.0,322.45,173.95,65.4,Low
285,2024-01-12 20:00:00,South,Normal,2,38.6,235.06,252.25,20.4,Low
286,2024-01-12 21:00:00,North,Normal,4,107.4,340.62,170.0,47.4,Low
287,2024-01-12 22:00:00,Central,Supercharger,10,88.0,326.03,174.1,58.2,High
288,2024-01-12 23:00:00,East,Fast,17,21.0,12.98,214.45,76.8,Low
289,2024-01-13 00:00:00,East,Fast,10,89.5,180.29,87.23,63.9,High
290,2024-01-13 01:00:00,West,Normal,16,57.5,216.61,383.08,21.7,High
291,2024-01-13 02:00:00,West,Supercharger,5,105.2,346.72,251.21,21.4,Medium
292,2024-01-13 03:00:00,South,Normal,7,51.9,316.06,254.33,32.2,Medium
293,2024-01-13 04:00:00,East,Fast,15,98.4,215.11,229.39,65.6,Low
294,2024-01-13 05:00:00,North,Normal,19,22.7,324.49,484.37,21.6,High
295,2024-01-13 06:00:00,North,Supercharger,11,76.8,333.26,427.2,39.0,High
296,2024-01-13 07:00:00,North,Normal,24,27.4,286.09,56.96,18.3,High
297,2024-01-13 08:00:00,Central,Fast,9,108.0,61.38,430.87,7.1,Low
298,2024-01-13 09:00:00,South,Fast,5,45.2,12.68,468.15,15.1,High
299,2024-01-13 10:00:00,East,Normal,24,98.6,143.0,303.04,50.2,Low
300,2024-01-13 11:00:00,West,Fast,18,94.9,170.72,211.19,13.5,Low
301,2024-01-13 12:00:00,Central,Normal,4,44.0,214.33,490.0,22.4,Medium
302,2024-01-13 13:00:00,North,Fast,16,55.3,128.97,205.26,10.2,High
303,2024-01-13 14:00:00,East,Fast,19,117.0,109.24,470.42,41.4,Low
304,2024-01-13 15:00:00,South,Normal,12,65.5,173.63,442.97,72.5,Low
305,2024-01-13 16:00:00,West,Normal,10,26.1,13.84,143.98,37.5,Medium
306,2024-01-13 17:00:00,South,Fast,7,106.5,167.75,276.02,80.4,High
307,2024-01-13 18:00:00,North,Normal,19,90.9,166.21,141.73,70.8,High
308,2024-01-13 19:00:00,South,Normal,4,92.7,26.59,332.79,60.9,Medium
309,2024-01-13 20:00:00,West,Fast,10,31.6,46.1,94.54,70.0,Low
310,2024-01-13 21:00:00,West,Fast,6,68.2,24.16,425.1,26.9,Low
311,2024-01-13 22:00:00,West,Supercharger,2,45.4,43.12,250.41,50.7,Low
312,2024-01-13 23:00:00,East,Fast,2,90.9,101.21,77.82,75.0,High
313,2024-01-14 00:00:00,Central,Supercharger,19,37.4,222.72,61.63,20.5,Medium
314,2024-01-14 01:00:00,East,Normal,2,114.6,272.91,58.2,78.0,Low
315,2024-01-14 02:00:00,North,Fast,8,39.1,231.3,91.17,60.2,Low
316,2024-01-14 03:00:00,East,Normal,18,81.6,182.63,442.86,74.0,High
317,2024-01-14 04:00:00,Central,Normal,11,64.8,165.03,100.49,6.9,High
318,2024-01-14 05:00:00,South,Normal,4,113.6,298.88,372.77,82.7,Low
319,2024-01-14 06:00:00,North,Fast,19,89.2,314.77,454.97,15.3,High
320,2024-01-14 07:00:00,East,Fast,11,62.5,15.51,376.0,15.6,High
321,2024-01-14 08:00:00,North,Normal,23,59.3,192.1,127.72,73.4,Low
322,2024-01-14 09:00:00,East,Normal,18,46.7,150.24,297.38,52.7,High
323,2024-01-14 10:00:00,East,Supercharger,24,97.8,341.34,220.04,21.0,High
324,2024-01-14 11:00:00,Central,Fast,20,48.4,247.11,315.52,61.4,Medium
